source,city,category,type,code,title,price,biomaterial_price,turnaround_time,url,scraped_at
Helix,Екатеринбург,Все анализы,complex,02-029,"Клинический анализ крови: общий анализ, лейкоцитарная формула, СОЭ (с микроскопией мазка крови при выявлении патологических изменений)",510,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-029,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-036,Базофильная зернистость эритроцитов,540,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-036,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-014,Общий анализ крови (без лейкоцитарной формулы и СОЭ),305,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-014,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-032,Проба Сулковича,250,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-032,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-034,Микроскопическое исследование на наличие клещей рода демодекс (Demodex spp. ),490,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-034,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-027,Ретикулоциты,390,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-027,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-033,Микроскопическое исследование мазка со слизистой оболочки носа,870,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-033,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-015,Микроскопическое исследование отделяемого мочеполовых органов мужчин (микрофлора),480,,До 00:00 следующего дня,https://helix.ru/catalog/item/02-015,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-031,Содержание углеводов в кале,705,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-031,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-021,Общий анализ мокроты,890,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-021,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,complex,02-056,"Анализ кала на яйца и личинки гельминтов, простейшие и их цисты (Parasep)",1140,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-056,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,complex,02-050,Спермограмма с МАР-тестом (определение наличия антиспермальных антител класса IgA/IgG),8430,,До 12 часов. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-050,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,complex,02-052,"МАР-тест (определение наличия антиспермальных антител класса IgA, IgG)",7990,,До 12 часов. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-052,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-058,Карбоксигемоглобин и метгемоглобин в крови,1335,,До 4 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-058,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-038,"Скрытая кровь в кале, количественно (метод FOB Gold)",1255,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-038,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,complex,02-043,"Клинический анализ крови: общий анализ, лейкоцитарная формула, СОЭ (с обязательной микроскопией мазка крови)",705,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-043,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-042,Лейкоцитарная формула (с обязательной микроскопией мазка крови),350,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-042,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-053,Анализ на энтеробиоз,340,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-053,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-041,Клинический анализ крови с микроскопией лейкоцитарной формулы,500,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-041,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-057,"Микроскопическое исследование отделяемого мочеполовых органов женщин (микрофлора), 2 локализации",460,,До 00:00 следующего дня,https://helix.ru/catalog/item/02-057,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-048,Анализ кала на скрытую кровь (ColonView),1340,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-048,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-055,Определение химического состава мочевого камня методом инфракрасной спектроскопии,4195,,До 6 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-055,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,03-005,Группа крови ABO,490,,До 00:00 следующего дня,https://helix.ru/catalog/item/03-005,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,03-010,Тромбиновое время,345,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/03-010,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,complex,03-002,Антитромбин III,585,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/03-002,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,03-008,Резус-фактор,490,,До 00:00 следующего дня,https://helix.ru/catalog/item/03-008,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,03-004,Волчаночный антикоагулянт,4150,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/03-004,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,03-011,Фибриноген,345,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/03-011,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,03-007,"Коагулограмма №1 (протромбин (по Квику), МНО)",365,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/03-007,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-060,Метгемоглобин в крови,750,,До 4 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-060,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,03-003,Активированное частичное тромбопластиновое время (АЧТВ),280,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/03-003,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,02-059,Карбоксигемоглобин в крови,750,,До 4 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/02-059,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,03-001,D-димер,1225,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/03-001,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,03-013,Эритропоэтин,1565,,До 10 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/03-013,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,03-020,"Плазминоген, % активности",1010,,До 3 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/03-020,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-006,Амилаза панкреатическая,335,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-006,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,complex,03-015,"Коагулограмма №2 (протромбин (по Квику), МНО, фибриноген)",675,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/03-015,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,complex,03-019,Протеин S свободный,2930,,До 4 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/03-019,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-001,С-концевые телопептиды коллагена I типа (β-CrossLaps) - маркер резорбции костной ткани,1155,,До 4 суток,https://helix.ru/catalog/item/06-001,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-007,Антистрептолизин О,535,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-007,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,complex,03-018,Протеин C,2335,,До 9 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/03-018,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-002,N-остеокальцин - маркер костного ремоделирования,945,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-002,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,complex,03-016,"Коагулограмма №3 (протромбин (по Квику), МНО, фибриноген, АТIII, АЧТВ, D-димер)",2660,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/03-016,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-005,Амилаза общая в сыворотке,290,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-005,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-003,Аланинаминотрансфераза (АЛТ),220,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-003,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-004,Альбумин в сыворотке,285,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-004,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,complex,06-018,Железосвязывающая способность сыворотки,360,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-018,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,complex,06-019,"Калий, натрий, хлор в сыворотке",380,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-019,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-008,Аполипопротеин B,595,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-008,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-010,Аспартатаминотрансфераза (АСТ),220,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-010,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-015,Глюкоза в плазме,180,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-015,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-016,Гомоцистеин,1385,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-016,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-013,Гамма-глютамилтранспептидаза (гамма-ГТ),235,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-013,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-012,Витамин B12 (цианокобаламин),695,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-012,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-014,Гликированный гемоглобин (HbA1c),525,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-014,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-017,Железо в сыворотке,265,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-017,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-009,Аполипопротеин A1,640,,До 4 суток,https://helix.ru/catalog/item/06-009,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-011,Белковые фракции в сыворотке,565,,До 5 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-011,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-024,Лактат,710,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-024,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-021,Креатинин в сыворотке (с определением СКФ),225,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-021,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-025,Лактатдегидрогеназа (ЛДГ) общая,240,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-025,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-023,Креатинкиназа MB,450,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-023,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-020,Кальций в сыворотке,285,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-020,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-029,Холестерол – липопротеины низкой плотности (ЛПНП),270,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-029,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-027,Липаза,395,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-027,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-033,Мочевая кислота в сыворотке,230,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-033,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-028,Холестерол – липопротеины высокой плотности (ЛПВП),300,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-028,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-022,Креатинкиназа общая,325,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-022,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-026,"Лактатдегидрогеназа 1, 2 (ЛДГ 1, 2 фракции)",315,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-026,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-031,Магний в сыворотке,340,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-031,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-040,Трансферрин,615,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-040,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-042,Ферритин,610,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-042,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-035,Белок общий в сыворотке,230,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-035,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-043,Витамин B9 (фолиевая кислота),1040,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-043,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-036,Билирубин общий,230,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-036,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-039,С-пептид в сыворотке,675,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-039,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-045,Фосфатаза щелочная общая,225,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-045,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-034,Мочевина в сыворотке,240,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-034,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-041,Триглицериды,260,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-041,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-037,Билирубин прямой,255,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-037,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-046,Фосфор в сыворотке,290,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-046,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-038,Белок общий в моче,225,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-038,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-054,Кальций в суточной моче,410,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-054,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-049,Холинэстераза в сыворотке,300,,До 8 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-049,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-048,Холестерол общий,230,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-048,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-051,Кальций ионизированный,380,,До 3 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-051,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-058,Мочевина в суточной моче,240,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-058,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-059,Мочевая кислота в суточной моче,240,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-059,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-047,Фруктозамин,755,,До 5 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-047,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-056,Фосфор в суточной моче,280,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-056,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-057,Креатинин в суточной моче,245,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-057,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-053,Амилаза общая в суточной моче,310,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-053,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-050,"С-реактивный белок, количественно (высокочувствительный метод)",495,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-050,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-055,Магний в суточной моче,295,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-055,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,complex,06-071,Глюкозотолерантный тест (расширенный),875,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-071,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,complex,06-062,"Калий, натрий, хлор в суточной моче",340,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-062,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,complex,06-078,Альфа-1-антитрипсин,1510,,До 4 суток,https://helix.ru/catalog/item/06-078,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-061,Глюкоза в ликворе,225,,До 2 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-061,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-077,Гаптоглобин,850,,До 4 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-077,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-060,Белок общий в ликворе,290,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-060,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-064,Калий в сыворотке,255,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-064,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-065,Натрий в сыворотке,255,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-065,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-067,Калий в суточной моче,250,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-067,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-068,Натрий в суточной моче,250,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-068,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-069,Хлор в суточной моче,250,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-069,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-066,Хлор в сыворотке,255,,До 00:00 следующего дня. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-066,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-082,Цинк в сыворотке,1230,,До 5 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-082,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,complex,06-080,Церулоплазмин,830,,До 5 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-080,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-079,Миоглобин,790,,До 3 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-079,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-083,Медь в плазме,1230,,До 5 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-083,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-085,Бор в плазме,1230,,До 4 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-085,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-086,Алюминий в плазме,1230,,До 4 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-086,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-084,Литий в плазме,1230,,До 6 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-084,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-088,Титан в плазме,1230,,До 4 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-088,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-087,Кремний в плазме,1230,,До 4 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-087,2026-08-02T07:17:09.253Z
Helix,Екатеринбург,Все анализы,analysis,06-089,Хром в плазме,1230,,До 4 суток. Указанный срок не включает день взятия биоматериала,https://helix.ru/catalog/item/06-089,2026-08-02T07:17:09.253Z
